gen,n_total,n_feasible,feasible_ratio,basis,J1_min,J1_mean,J1_max,J1_span,J2_min,J2_mean,J2_max,J2_span,J3_min,J3_mean,J3_max,J3_span,J4_min,J4_mean,J4_max,J4_span,hypervolume,J1_improve_from_prev,J2_improve_from_prev,J3_improve_from_prev,J4_improve_from_prev,hypervolume_improve_from_prev
1,100,16,0.16,feasible,0.7087563433799036,0.7484440871040674,0.7872173747231089,0.07846103134320537,0.5292759664,0.6296748083999999,0.7826364183999999,0.2533604519999999,0.0005165182857142858,0.04703780220468751,0.10458129048214286,0.10406477219642858,0.2759826243216989,0.6679975587042911,0.9987870406012961,0.7228044162795972,0.16305699322874112,,,,,
2,100,37,0.37,feasible,0.7084607934348456,0.7466067060595732,0.7872173747231089,0.07875658128826335,0.5286398416,0.6256012742270269,0.7826364183999999,0.2539965767999999,0.0,0.04820832553893178,0.16592846886190477,0.16592846886190477,0.2759826243216989,0.6592355420917354,1.0,0.724017375678301,0.17083360306061576,0.0002955499450579824,0.0006361247999999708,0.0005165182857142858,0.0,0.007776609831874642
3,100,80,0.8,feasible,0.7084607934348456,0.7435710462070274,0.7970864549212496,0.08862566148640405,0.5286398416,0.6178427077499998,0.7955245016,0.26688466,0.0,0.04323825386928274,0.16592846886190477,0.16592846886190477,0.2409402067426524,0.6991956181225778,1.0,0.7590597932573476,0.1865984381327801,0.0,0.0,0.0,0.0350424175790465,0.015764835072164335
4,100,100,1.0,feasible,0.7084607934348456,0.7398729178239409,0.8004864563166063,0.09202566288176073,0.5286398416,0.5904265391999999,0.7604652959999999,0.2318254543999999,0.0,0.04283145063579047,0.16592846886190477,0.16592846886190477,0.2409402067426524,0.6877229559517368,1.0,0.7590597932573476,0.18691084314018974,0.0,0.0,0.0,0.0,0.00031240500740964405
5,100,100,1.0,feasible,0.7084607934348456,0.7382193690684247,0.7890980819946627,0.08063728855981711,0.5286398416,0.5799180241519999,0.7199618727999998,0.1913220311999998,0.0,0.04055036090849286,0.12756737929761905,0.12756737929761905,0.2409402067426524,0.6788535853040201,1.0,0.7590597932573476,0.187703916315147,0.0,0.0,0.0,0.0,0.0007930731749572484
6,100,100,1.0,feasible,0.7084607934348456,0.7405359316746027,0.7922047728184466,0.08374397938360101,0.5286398416,0.5847908480159999,0.7199618727999998,0.1913220311999998,0.0,0.0409341378439119,0.12756737929761905,0.12756737929761905,0.23638078122908907,0.6476204044546866,1.0,0.763619218770911,0.19077733938730873,0.0,0.0,0.0,0.004559425513563337,0.0030734230721617406
7,100,100,1.0,feasible,0.7084607934348456,0.7438865459735233,0.7940072016988471,0.0855464082640015,0.5286398416,0.59037422672,0.7276696807999998,0.19902983919999984,0.0,0.04353030592914286,0.12993106298095242,0.12993106298095242,0.23638078122908907,0.6203757535309922,1.0,0.763619218770911,0.19084977565510475,0.0,0.0,0.0,0.0,7.243626779601664e-05
8,100,100,1.0,feasible,0.7084607934348456,0.7458375680533025,0.7922047728184466,0.08374397938360101,0.5286398416,0.5930033287279999,0.7199618727999998,0.1913220311999998,0.0,0.04513612932036666,0.12993106298095242,0.12993106298095242,0.2359903211167052,0.6014766841006404,1.0,0.7640096788832949,0.19243930940195694,0.0,0.0,0.0,0.00039046011238386136,0.0015895337468521953
9,100,100,1.0,feasible,0.7084607934348456,0.7460709841182215,0.7922047728184466,0.08374397938360101,0.5286398416,0.590238567704,0.7199618727999998,0.1913220311999998,0.0,0.049628388616370006,0.12993106298095242,0.12993106298095242,0.2359903211167052,0.5880078445549601,1.0,0.7640096788832949,0.1929842909034327,0.0,0.0,0.0,0.0,0.0005449815014757498
10,100,100,1.0,feasible,0.7084607934348456,0.7469899513604729,0.7931084003104669,0.08464760687562134,0.5286398416,0.5919001237999999,0.7199618727999998,0.1913220311999998,0.0,0.05050807606070333,0.14078733785714284,0.14078733785714284,0.23575852761098898,0.5741274912662884,1.0,0.764241472389011,0.19433908315238108,0.0,0.0,0.0,0.0002317935057162268,0.0013547922489483832
