gen,n_total,n_feasible,feasible_ratio,basis,J1_min,J1_mean,J1_max,J1_span,J2_min,J2_mean,J2_max,J2_span,J3_min,J3_mean,J3_max,J3_span,J4_min,J4_mean,J4_max,J4_span,hypervolume,J1_improve_from_prev,J2_improve_from_prev,J3_improve_from_prev,J4_improve_from_prev,hypervolume_improve_from_prev
1,100,9,0.09,feasible,0.749401476287653,0.7742145055882107,0.7940062238152547,0.044604747527601685,0.6469499079999999,0.6925357833777777,0.7477617175999999,0.10081180960000002,0.003058085380952384,0.0141834868762963,0.03902897936714286,0.03597089398619048,0.25383401671971756,0.3524706562526097,0.47014621071939144,0.21631219399967389,0.14189120305519543,,,,,
2,100,30,0.3,feasible,0.7393949412205885,0.7724030325234448,0.8013085001656987,0.06191355894511019,0.6198752127999998,0.6857704960266664,0.7477617175999999,0.12788650480000008,3.1663095238016444e-07,0.011944951304226984,0.03902897936714286,0.03902866273619048,0.2212174226842243,0.3456444239169094,0.5233094639369316,0.3020920412527073,0.15861324836883378,0.010006535067064504,0.027074695200000054,0.003057768750000004,0.032616594035493246,0.016722045313638356
3,100,79,0.79,feasible,0.7393949412205885,0.776234612512466,0.8136698267141088,0.07427488549352035,0.6175889503999998,0.6935792232506327,0.7942120655999998,0.17662311519999996,3.1663095238016444e-07,0.01276287747914587,0.05381130665952381,0.053810990028571426,0.20828233396930143,0.33978282504851987,0.5233094639369316,0.31502712996763016,0.16127093891387334,0.0,0.002286262399999961,0.0,0.012935088714922882,0.0026576905450395594
4,100,100,1.0,feasible,0.7378615527706557,0.7704369007770394,0.8013085001656987,0.06344694739504297,0.6083775607999999,0.6792477737839998,0.7418513311999998,0.13347377039999986,3.1663095238016444e-07,0.01004256649943738,0.04944376244999999,0.04944344581904761,0.19211073254898206,0.3496470005853475,0.526444359797852,0.33433362724886995,0.1672041957004281,0.0015333884499327821,0.009211389599999897,0.0,0.01617160142031937,0.005933256786554764
5,100,100,1.0,feasible,0.7378615527706557,0.7674095458584063,0.8013085001656987,0.06344694739504297,0.6083775607999999,0.671633175032,0.7418513311999998,0.13347377039999986,3.1663095238016444e-07,0.009134777690014523,0.04944376244999999,0.04944344581904761,0.19211073254898206,0.35652364239540385,0.526444359797852,0.33433362724886995,0.16853040039945164,0.0,0.0,0.0,0.0,0.001326204699023531
6,100,100,1.0,feasible,0.7350120308548305,0.7646011318307083,0.8013085001656987,0.06629646931086819,0.6083775607999999,0.6646350801680001,0.7418513311999998,0.13347377039999986,0.0,0.009941774031365263,0.052576687578333337,0.052576687578333337,0.19211073254898206,0.36291654775161775,0.5624999999999997,0.37038926745101763,0.1704411275450864,0.002849521915825215,0.0,3.1663095238016444e-07,0.0,0.0019107271456347552
7,100,100,1.0,feasible,0.7350120308548305,0.764212190737446,0.8013085001656987,0.06629646931086819,0.6083775607999999,0.6608981557599999,0.7418513311999998,0.13347377039999986,0.0,0.012506098502212168,0.0660559748547619,0.0660559748547619,0.19211073254898206,0.3595854651461914,0.5624999999999997,0.37038926745101763,0.17078843320692455,0.0,0.0,0.0,0.0,0.0003473056618381598
8,100,100,1.0,feasible,0.7350120308548305,0.7651947592538327,0.8013085001656987,0.06629646931086819,0.6083775607999999,0.6618371139999999,0.7418513311999998,0.13347377039999986,0.0,0.013206482207245003,0.0660559748547619,0.0660559748547619,0.19211073254898206,0.35401997990284256,0.5624999999999997,0.37038926745101763,0.1708150167275172,0.0,0.0,0.0,0.0,2.6583520592649013e-05
9,100,100,1.0,feasible,0.7350120308548305,0.7660534949828197,0.801810584654562,0.06679855379973154,0.6083775607999999,0.661772198872,0.7418513311999998,0.13347377039999986,0.0,0.015269535614232025,0.07244729774607143,0.07244729774607143,0.18721584108555636,0.3471147115011742,0.5624999999999997,0.37528415891444333,0.1717213809012353,0.0,0.0,0.0,0.004894891463425699,0.0009063641737180883
10,100,100,1.0,feasible,0.7350120308548305,0.7664423166623061,0.801810584654562,0.06679855379973154,0.6083775607999999,0.6613616472880001,0.7418513311999998,0.13347377039999986,0.0,0.016493659538441074,0.07244729774607143,0.07244729774607143,0.18721584108555636,0.34735282738826184,0.5624999999999997,0.37528415891444333,0.17161203717479395,0.0,0.0,0.0,0.0,-0.0001093437264413355
