gen,n_total,n_feasible,feasible_ratio,basis,J1_min,J1_mean,J1_max,J1_span,J2_min,J2_mean,J2_max,J2_span,J3_min,J3_mean,J3_max,J3_span,J4_min,J4_mean,J4_max,J4_span,hypervolume,J1_improve_from_prev,J2_improve_from_prev,J3_improve_from_prev,J4_improve_from_prev,hypervolume_improve_from_prev
1,100,0,0.0,all,0.8310752466293408,0.8755693179809184,0.9495731869952735,0.11849794036593264,0.7291708271999999,0.854764410856,1.0,0.2708291728000001,0.2829769371654762,0.34048154253065344,0.4162760939416666,0.13329915677619042,0.09678181623062034,0.13750904785079177,0.18055747595631697,0.08377565972569663,,,,,,
2,100,0,0.0,all,0.8240124716132072,0.8600623313353569,0.905733448363072,0.08172097674986478,0.7291708271999999,0.8264353474159998,0.9191798599999998,0.19000903279999992,0.2925809747166667,0.34084881421744945,0.42832655305642864,0.13574557833976192,0.1042214955172479,0.14515959129338832,0.1822736718148913,0.0780521762976434,,0.007062775016133616,0.0,-0.009604037551190547,-0.00743967928662756,
3,100,0,0.0,all,0.8085428604817471,0.8487607134739156,0.889642800045349,0.08109993956360195,0.6916794679999999,0.8042057633519998,0.9097487831999997,0.21806931519999984,0.2856335018023809,0.3371735114810251,0.4051361094516667,0.11950260764928583,0.10765612576915204,0.15234366942289124,0.18627013317617278,0.07861400740702074,,0.01546961113146017,0.03749135920000002,0.006947472914285824,-0.0034346302519041444,
4,100,0,0.0,all,0.8032889476392304,0.8389918076770795,0.877294567613765,0.07400561997453459,0.6742678463999999,0.7825672677839997,0.8626035903999998,0.18833574399999986,0.2677050884857143,0.3286187457928789,0.4051361094516667,0.13743102096595244,0.11422942169197146,0.1596910784628956,0.19355470350699652,0.07932528181502506,,0.005253912842516639,0.017411621599999982,0.017928413316666614,-0.006573295922819425,
5,100,3,0.03,feasible,0.8088590953726474,0.8201537232774608,0.8344324659445694,0.025573370571921994,0.7008769312,0.7188941309333332,0.7285465104,0.027669579199999905,0.27958635059523806,0.3046801345081746,0.3402403096690476,0.06065395907380955,0.164523634183105,0.17803787604848023,0.18818706123746445,0.023663427054359448,0.08863385593932897,-0.005570147733417019,-0.026609084800000127,-0.011881262109523782,-0.05029421249113354,
6,100,9,0.09,feasible,0.8088590953726474,0.8198493132033714,0.8344324659445694,0.025573370571921994,0.7008769312,0.743149915911111,0.7972863439999998,0.0964094127999997,0.2748583170428572,0.3153292474430687,0.3737234088952381,0.0988650918523809,0.15088595122199477,0.1799238618965823,0.20013797795984387,0.04925202673784909,0.0901039239659088,0.0,0.0,0.004728033552380884,0.013637682961110231,0.0014700680265798266
7,100,18,0.18,feasible,0.7931577539113601,0.8169691231005219,0.8344324659445694,0.041274712033209315,0.6904227455999997,0.7336703642222222,0.7972863439999998,0.10686359840000004,0.2748583170428572,0.32095755518570107,0.3737234088952381,0.0988650918523809,0.15088595122199477,0.1833624835570335,0.22858088166317808,0.07769493044118331,0.09692408909286954,0.01570134146128732,0.010454185600000332,0.0,0.0,0.006820165126960737
8,100,36,0.36,feasible,0.7931577539113601,0.8151997454709038,0.8344324659445694,0.041274712033209315,0.6727574176,0.7299847168666665,0.7972863439999998,0.1245289263999998,0.2551283162833333,0.3182844904394153,0.375368841204762,0.12024052492142867,0.15088595122199477,0.1847010478233423,0.22858088166317808,0.07769493044118331,0.10359557124148154,0.0,0.017665327999999758,0.019730000759523858,0.0,0.006671482148612004
9,100,81,0.81,feasible,0.7878849631102507,0.8133399138507049,0.8344324659445694,0.046547502834318744,0.6727574176,0.725588435111111,0.8006596487999996,0.12790223119999966,0.2551283162833333,0.32133604223954026,0.38574479153785723,0.1306164752545239,0.15058293360028202,0.18594964516043636,0.23532453990809327,0.08474160630781125,0.10554206873320614,0.005272790801109428,0.0,0.0,0.00030301762171275337,0.001946497491724597
10,100,100,1.0,feasible,0.7878849631102507,0.8112965099192437,0.8344324659445694,0.046547502834318744,0.6679344519999998,0.7181341662239997,0.8010026247999997,0.13306817279999994,0.2551283162833333,0.3110774315819503,0.36311764379047623,0.10798932750714291,0.13967575989655415,0.1834550855140182,0.23532453990809327,0.09564878001153912,0.1076947286007336,0.0,0.004822965600000173,0.0,0.010907173703727874,0.0021526598675274677
11,100,100,1.0,feasible,0.787562113878569,0.8108185218277429,0.8339924581828962,0.04643034430432724,0.6675528655999997,0.7155676500639998,0.8010026247999997,0.13344975920000002,0.25429178525952384,0.3053470317951014,0.36311764379047623,0.10882585853095239,0.13967575989655415,0.18030793588384023,0.23532453990809327,0.09564878001153912,0.10825367982987674,0.0003228492316816878,0.00038158640000007793,0.0008365310238094836,0.0,0.000558951229143137
12,100,100,1.0,feasible,0.787562113878569,0.8088411472276001,0.8391160945703171,0.0515539806917481,0.6525160407999998,0.7085647443599998,0.7730510583999999,0.12053501760000007,0.2542023118595238,0.303249954805449,0.3686253829190476,0.11442307105952382,0.13967575989655415,0.18069661293423533,0.2375121276026338,0.09783636770607965,0.11172870198875866,0.0,0.015036824799999904,8.947340000003967e-05,0.0,0.003475022158881916
13,100,100,1.0,feasible,0.7870410638724645,0.8092994628791446,0.8391160945703171,0.052075030697852576,0.6485672671999999,0.7065749642719998,0.7730510583999999,0.12448379119999997,0.22375743961904765,0.296035508923075,0.3549997250714286,0.13124228545238092,0.13967575989655415,0.1763665892306145,0.23532453990809327,0.09564878001153912,0.11694571171348929,0.0005210500061044732,0.0039487735999999,0.03044487224047615,0.0,0.005217009724730631
14,100,100,1.0,feasible,0.7869969112029722,0.8063169222838503,0.8391160945703171,0.05211918336734489,0.6431172359999999,0.6976802124399997,0.7830636295999998,0.13994639359999983,0.22375743961904765,0.2925528209995557,0.35459083325095236,0.13083339363190472,0.1385746273006443,0.17968426980701124,0.23532453990809327,0.09674991260744897,0.11851062128153238,4.4152669492314445e-05,0.005450031199999983,0.0,0.001101132595909854,0.001564909568043088
15,100,100,1.0,feasible,0.7815328391153437,0.8030127792711004,0.8391160945703171,0.05758325545497345,0.6431172359999999,0.6881414091039999,0.7639661223999998,0.12084888639999991,0.22375743961904765,0.2880258863344026,0.35387217905476187,0.13011473943571422,0.1385746273006443,0.183894501742114,0.23764140793536354,0.09906678063471924,0.1207815169923082,0.0054640720876285576,0.0,0.0,0.0,0.002270895710775822
16,100,100,1.0,feasible,0.7808686290617968,0.8025145463877698,0.8391160945703171,0.058247465508520335,0.6421783216,0.6844653846959998,0.7639661223999998,0.12178780079999985,0.22375743961904765,0.28320222852031857,0.35563897948119044,0.1318815398621428,0.1385746273006443,0.1821317426706785,0.23284020940940423,0.09426558210875993,0.12170281142183234,0.0006642100535468876,0.000938914399999935,0.0,0.0,0.0009212944295241415
17,100,100,1.0,feasible,0.7750396298815688,0.8009737319083251,0.8385070213489613,0.06346739146739244,0.6345924367999999,0.6796097730960001,0.7654821424,0.13088970560000013,0.2121830857316666,0.2765226036403417,0.3474208211380952,0.13523773540642858,0.1385746273006443,0.18410220298307395,0.24703568427085465,0.10846105697021036,0.12696931630645217,0.005828999180227945,0.007585884800000109,0.01157435388738104,0.0,0.005266504884619827
18,100,100,1.0,feasible,0.7750396298815688,0.797597147777894,0.8316942208675632,0.056654590985994346,0.6345924367999999,0.6722641404879998,0.7696403815999998,0.13504794479999993,0.2121830857316666,0.2666682676817995,0.3412826601071428,0.1290995743754762,0.13264484099600427,0.1877010360422706,0.24703568427085465,0.11439084327485038,0.1276995545106234,0.0,0.0,0.0,0.005929786304640028,0.0007302382041712296
19,100,100,1.0,feasible,0.7750396298815688,0.7982267852798565,0.8316942208675632,0.056654590985994346,0.6340315799999999,0.671446342144,0.7696403815999998,0.13560880159999988,0.20497308230238098,0.26586675270123616,0.33619245361214284,0.13121937130976186,0.13264484099600427,0.18384171286847892,0.2520449233042788,0.11940008230827454,0.128891568601277,0.0,0.0005608567999999536,0.007210003429285627,0.0,0.0011920140906536147
20,100,100,1.0,feasible,0.7750396298815688,0.7983511844688052,0.8261514528282142,0.0511118229466454,0.6340315799999999,0.6696565736239998,0.7435715479999999,0.10953996799999999,0.20250630825000002,0.26632583814145716,0.33950443695,0.13699812869999997,0.13264484099600427,0.18211050030213305,0.2520449233042788,0.11940008230827454,0.12954723362507084,0.0,0.0,0.0024667740523809656,0.0,0.0006556650237938277
21,100,100,1.0,feasible,0.7750396298815688,0.797026837181902,0.8270396564805607,0.05200002659899183,0.6339150607999999,0.6662168290479998,0.7435715479999999,0.10965648719999999,0.20250630825000002,0.26513800307630236,0.33950443695,0.13699812869999997,0.13115461860980052,0.18292443415958062,0.2520449233042788,0.12089030469447828,0.1298451564697156,0.0,0.00011651919999999816,0.0,0.001490222386203749,0.00029792284464474905
22,100,100,1.0,feasible,0.7735232422862923,0.7953187538677551,0.8261514528282142,0.052628210541921905,0.6332072383999999,0.6626735045999999,0.7435715479999999,0.11036430959999999,0.20250630825000002,0.2602293580218452,0.33950443695,0.13699812869999997,0.12967754128863063,0.1854969288022694,0.2594799919807021,0.12980245069207147,0.1308553965030573,0.0015163875952765027,0.0007078224000000022,0.0,0.0014770773211698895,0.0010102400333417139
23,100,100,1.0,feasible,0.7735232422862923,0.7960986257530568,0.8261514528282142,0.052628210541921905,0.6297046135999997,0.6627410334159998,0.7435715479999999,0.11386693440000017,0.20250630825000002,0.2527605872133107,0.33950443695,0.13699812869999997,0.12877779068535478,0.1834393256131749,0.2594799919807021,0.13070220129534732,0.1320758654597086,0.0,0.003502624800000187,0.0,0.0008997506032758507,0.0012204689566512883
24,100,100,1.0,feasible,0.7735232422862923,0.7953054963982348,0.8267639301972686,0.05324068791097625,0.6287514743999998,0.6621907211599997,0.7435715479999999,0.11482007360000013,0.187393430175,0.2475159125590369,0.33950443695,0.152111006775,0.1206929568884932,0.18361776301033297,0.2594799919807021,0.1387870350922089,0.1351380899953191,0.0,0.0009531391999999528,0.01511287807500003,0.008084833796861576,0.0030622245356105027
25,100,100,1.0,feasible,0.7735232422862923,0.7948626715041947,0.8282916197477893,0.054768377461496986,0.6287514743999998,0.6572020672159998,0.7139509631999997,0.08519948879999995,0.187393430175,0.2467446472104631,0.3275306374309524,0.1401372072559524,0.1128523211542318,0.18009243743239003,0.25958136391002623,0.14672904275579443,0.13612896459197998,0.0,0.0,0.0,0.0078406357342614,0.00099087459666089
26,100,100,1.0,feasible,0.7735232422862923,0.7968653871662044,0.8291260025639684,0.05560276027767608,0.6261414207999999,0.658146792896,0.7139509631999997,0.08780954239999983,0.187393430175,0.24602449879245594,0.3275306374309524,0.1401372072559524,0.10842747445448717,0.17374410499169446,0.25958136391002623,0.15115388945553906,0.13739100326804563,0.0,0.002610053599999884,0.0,0.004424846699744633,0.001262038676065641
27,100,100,1.0,feasible,0.7735232422862923,0.7963794780719654,0.8291260025639684,0.05560276027767608,0.6261414207999999,0.6568208475359999,0.7139509631999997,0.08780954239999983,0.187393430175,0.24343478562094523,0.3275306374309524,0.1401372072559524,0.10842747445448717,0.1736723511672106,0.25958136391002623,0.15115388945553906,0.13755351610097657,0.0,0.0,0.0,0.0,0.00016251283293094998
28,100,100,1.0,feasible,0.7727708218652434,0.796336246585736,0.8291260025639684,0.05635518069872503,0.6261414207999999,0.6558039947759998,0.7050790855999998,0.07893766479999986,0.187393430175,0.24282108323192142,0.3275306374309524,0.1401372072559524,0.10842747445448717,0.17150815062720295,0.25248083195562104,0.14405335750113388,0.13803389154117296,0.0007524204210489494,0.0,0.0,0.0,0.00048037544019638445
29,100,100,1.0,feasible,0.7727708218652434,0.7951466099279648,0.8291260025639684,0.05635518069872503,0.6261414207999999,0.654285345752,0.7050790855999998,0.07893766479999986,0.187393430175,0.23786472140250833,0.3275306374309524,0.1401372072559524,0.10842747445448717,0.17421362101325844,0.25248083195562104,0.14405335750113388,0.1381035250184694,0.0,0.0,0.0,0.0,6.963347729643798e-05
30,100,100,1.0,feasible,0.7727708218652434,0.7969706669413774,0.8291260025639684,0.05635518069872503,0.6261414207999999,0.6549656188159999,0.7050790855999998,0.07893766479999986,0.187393430175,0.2382916955678988,0.2972783620619048,0.10988493188690479,0.10842747445448717,0.16827635906045285,0.25248083195562104,0.14405335750113388,0.13819652793263604,0.0,0.0,0.0,0.0,9.300291416663997e-05
